sep=,
"Vergunningnr","Inrichting","KvK-nummer","Allocatie 2008","Emissie 2008","Naleving 2008","Allocatie 2009","Emissie 2009","Naleving 2009","Allocatie 2010","Emissie 2010","Naleving 2010","Allocatie 2011","Emissie 2011","Naleving 2011","Allocatie 2012","Emissie 2012","Naleving 2012","Allocatie 2013","Emissie 2013","Naleving 2013"
"NL-200800075","Asfaltcentrale Heijmans Zwijndrecht","18124067","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2532","3676","Ja"
"NL-200800067","Asfaltcentrale Limburg (ACL)","14030480","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2887","4153","Ja"
"NL-201000107","AsfaltCentrale Overbetuwe (ACOB) B.V.","09021915","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1843","1934","Ja"
"NL-201000108","Asfalt Centrale Rivierenland v.o.f.","11015389","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1901","2231","Ja"
"NL-201000061","AsfaltCentrale Stedendriehoek (ACS)","38019939","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2536","3071","Ja"
"NL-201000114","Asfalt Productie Kootstertille B.V.","01083550","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3048","5143","Ja"
"NL-201000117","Asfaltproductie Rasenberg Wegenbouw B.V.","20032947","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3829","2971","Nee"
"NL-200800038","Asfaltproductie Regio Amsterdam BV (ARA)","34217572","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5875","8784","Ja"
"NL-200500004","Ashland Industries Nederland B.V.","27022150","21081","19966","Ja","21081","19443","Ja","21081","20649","Ja","21081","20483","Ja","21081","19754","Ja","19846","19654","Ja"
"NL-200400187","AVEBE U.A. locatie Foxhol","02300804","57107","42286","Ja","57107","43293","Ja","57106","41377","Ja","57106","25493","Ja","57106","24302","Ja","29436","29225","Ja"
"NL-200400188","AVEBE U.A. locatie Gasselternijveen","02300804","90868","72354","Ja","90868","79269","Ja","90868","82579","Ja","90868","75738","Ja","90867","79058","Ja","63549","75164","Ja"
"NL-200400033","AVEBE U.A. locatie Ter Apelkanaal","02300804","175020","150831","Ja","175020","135703","Ja","175020","139667","Ja","175019","118428","Ja","175019","108567","Ja","94409","117382","Ja"
"NL-200400194","AVEBE U.A. locatie Veendam (DWM)","02300804","14828","4599","Ja","14828","448","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200400013","Aviko B.V., vestiging Lomm","08027672","17461","18292","Ja","17461","14653","Ja","17461","14735","Ja","17460","15365","Ja","17460","12527","Ja","15364","12893","Ja"
"NL-200400099","Aviko B.V., vestiging Steenderen","08027672","66155","61320","Ja","66155","63692","Ja","66155","62356","Ja","66154","62502","Ja","66154","63673","Ja","38277","58619","Ja"
"NL-200700114","B.V. Steenfabriek Hedikhuizen","16074468","21683","12169","Ja","21682","11289","Ja","21682","9415","Ja","21682","14898","Ja","21682","13527","Ja","9652","12017","Ja"
"NL-200400114","B.V. Steenfabriek Huissenswaard","09151313","20780","21258","Ja","20779","21562","Ja","20779","15939","Ja","20779","14984","Ja","20779","16251","Ja","17215","16832","Ja"
"NL-200400121","B.V. Steenfabriek Spijk","09147037","31063","30845","Ja","31063","31833","Ja","31063","32301","Ja","31063","33143","Ja","31063","25706","Ja","25277","25851","Ja"
"NL-200700140","Barendse DC II b.v.","27292667","26292","22483","Ja","26292","21847","Ja","26292","25284","Ja","26292","23289","Ja","26292","25067","Ja","11813","23815","Ja"
"NL-200400297","Bavaria N.V.","17007387","55076","52938","Ja","55076","51139","Ja","55076","51287","Ja","55075","49788","Ja","55075","52705","Ja","36579","51740","Ja"
"NL-200700045","BB Energy B.V.","01106204","18207","15641","Ja","18207","17961","Ja","18207","19457","Ja","18206","17392","Ja","18206","5672","Ja","-","-","-"
"NL-200700141","Beekenkamp Plants BV","27247058","17754","14851","Ja","17754","15587","Ja","17754","16520","Ja","17753","14883","Ja","17753","15542","Ja","9382","18443","Ja"
"NL-200700032","Bergmont B.V.","01084799","14006","12135","Ja","14006","5877","Ja","14005","7125","Ja","14005","6276","Ja","14005","1132","Ja","-","-","-"
"NL-201000015","BioEnergieCentrale Delfzijl B.V.","51706210","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","7114","Ja"
"NL-200400205","BioMethanol Chemie Nederland B.V.","33201294","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","556193","258190","Ja"
"NL-200800018","Biopetrol Rotterdam B.V.","24393738","0","0","Ja","0","6013","Ja","16390","18004","Ja","22871","25210","Ja","21368","34943","Ja","0","38097","Ja"
"NL-200700046","Bloemenkwekerij Nico Kiep BV","11024645","9530","8544","Ja","9530","7777","Ja","9530","8611","Ja","9530","8108","Ja","9530","2418","Ja","-","-","-"
"NL-200700014","BMC Moerdijk B.V.","17146619","13591","9325","Ja","15387","3478","Ja","15387","1267","Ja","15387","2092","Ja","15387","1480","Ja","-","-","-"
"NL-200400017","BP Raffinaderij Rotterdam B.V.","24178415","1956227","2130368","Ja","1956227","2025190","Ja","1956226","2245441","Ja","1956226","2145612","Ja","1956226","2112452","Ja","1646715","1944366","Ja"
"NL-201000120","Brabantse Asfaltcentrale (BAC)","17076495","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3525","4614","Ja"
"NL-200800043","Leo Hoogweg B.V. (KBW 2-1)","27138860","-","-","-","18096","13180","Ja","18096","16070","Ja","18096","16531","Ja","18096","18105","Ja","7498","15414","Ja"
"NL-200900081","C. Zwinkels","51195941","-","-","-","4033","2527","Ja","17718","16110","Ja","17718","15813","Ja","17718","3743","Ja","-","-","-"
"NL-200700047","C.G. van Winden B.V.","27224710","16258","14838","Ja","16257","13971","Ja","16257","16319","Ja","16257","14590","Ja","16257","4390","Ja","-","-","-"
"NL-200400203","Cabot B.V.","24108495","220899","209077","Ja","220899","195371","Ja","220899","227514","Ja","220898","239006","Ja","220898","240770","Ja","195634","223075","Ja"
"NL-200500006","Cabot Norit Activated Carbon, Klazienaveen plant","31020246","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","128815","115295","Ja"
"NL-201100058","Caldic Chemie B.V.","24183521","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14643","14381","Ja"
"NL-200400115","Cargill B.V. Multiseed Amsterdam","33119622","32392","31220","Ja","32392","30564","Ja","32392","30606","Ja","32391","27738","Ja","32391","23548","Ja","21857","29380","Ja"
"NL-200500089","Cargill B.V. Rotterdam Botlek","33119622","29969","26065","Ja","29968","26330","Ja","29968","25762","Ja","29968","24055","Ja","29968","25030","Ja","20580","26732","Ja"
"NL-200400295","Cargill B.V. Sojafabrieken Amsterdam","33119622","70794","70050","Ja","70793","66609","Ja","70793","69446","Ja","70793","63312","Ja","70793","48982","Ja","56374","63723","Ja"
"NL-200400182","Cargill B.V. Sas van Gent","33119622","201286","206599","Ja","201286","190943","Ja","201285","179977","Ja","201285","173818","Ja","201285","193773","Ja","157311","200881","Ja"
"NL-200400215","Cargill Bergen op Zoom BKG 1","33119622","61653","51661","Ja","61653","50831","Ja","61653","49254","Ja","61652","56604","Ja","61652","57225","Ja","59643","5707","Ja"
"NL-200400215a","Cargill Bergen op Zoom BKG 2","33119622","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1391","12981","Ja"
"NL-200400130","Centrica Production Nederland B.V.","34081068","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","101612","152766","Ja"
"NL-201200101","Century Aluminum Vlissingen BV","55195229","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","1043","Ja"
"NL-200400161","Chemelot BKG 01","14083045","3246446","2557303","Ja","3956256","2966647","Ja","3559598","3174699","Ja","3559598","2816336","Ja","3517844","2928323","Ja","823629","746865","Ja"
"NL-200400161a","Chemelot BKG 02","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1017692","1516756","Ja"
"NL-200400161b","Chemelot BKG 03","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","732093","949936","Ja"
"NL-200400161c","Chemelot BKG 04","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","767596","925279","Ja"
"NL-200400161d","Chemelot BKG 05","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","73645","26089","Ja"
"NL-200400161e","Chemelot BKG 06","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","144616","16151","Ja"
"NL-200400161f","Chemelot BKG 07","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","65465","34818","Ja"
"NL-200400161g","Chemelot BKG 08","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","44119","99016","Ja"
"NL-200400161h","Chemelot BKG 09","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","92043","176497","Ja"
