sep=,
"Vergunningnr","Inrichting","KvK-nummer","Allocatie 2008","Emissie 2008","Naleving 2008","Allocatie 2009","Emissie 2009","Naleving 2009","Allocatie 2010","Emissie 2010","Naleving 2010","Allocatie 2011","Emissie 2011","Naleving 2011","Allocatie 2012","Emissie 2012","Naleving 2012","Allocatie 2013","Emissie 2013","Naleving 2013"
"NL-200400226","Loders Croklaan B.V.","35011263","30086","22136","Ja","30086","20580","Ja","30086","21431","Ja","30086","20451","Ja","30085","20333","Ja","15570","19359","Ja"
"NL-200500025","Lamb Weston Meijer V.O.F., vestiging Bergen op Zoom","22036226","21967","22332","Ja","21967","22411","Ja","21967","22128","Ja","21966","22487","Ja","21966","23668","Ja","18938","21863","Ja"
"NL-201100010","Lyondell Bayer Manufacturing Maasvlakte VOF","24313844","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","460446","10996","Ja"
"NL-200400083","Lyondell Chemie Nederland B.V. - Botlek locatie","24314683","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","506564","127282","Ja"
"NL-201100016","Lyondell Chemie Nederland B.V. - Europoort locatie","24314683","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","5315","Ja"
"NL-200900013","MaasStroom Energie C.V.","24421354","-","-","-","0","84","Ja","664482","639568","Ja","931060","598030","Ja","864701","269729","Ja","0","241515","Ja"
"NL-200700026","Marjoland B.V.","27190670","29628","29777","Ja","34592","28725","Ja","39555","37165","Ja","39555","37496","Ja","39555","10690","Ja","-","-","-"
"NL-200700090","Mars Food Europe CV","23051922","8708","9034","Ja","8708","8691","Ja","8708","7812","Ja","8707","7809","Ja","8707","7117","Ja","7598","7537","Ja"
"NL-200700091","Mars Nederland BV","16021492","11805","12919","Ja","11804","12455","Ja","11804","12005","Ja","11804","13504","Ja","11804","12899","Ja","10250","14072","Ja"
"NL-200400078","Mayr-Melnhof Eerbeek B.V.","08038270","70733","53134","Ja","70733","51312","Ja","70733","65152","Ja","70732","58615","Ja","70732","59675","Ja","35278","65855","Ja"
"NL-200400097","McCain Foods Holland B.V., vestiging Lelystad","22000299","6999","11134","Ja","6999","9772","Ja","6999","10291","Ja","6999","11237","Ja","6999","21185","Ja","13558","22559","Ja"
"NL-200600037","McCain Foods Holland B.V., vestiging Lewedorp","22000299","12129","14454","Ja","12129","14753","Ja","12129","15780","Ja","12129","17074","Ja","12128","16775","Ja","10014","17525","Ja"
"NL-200400263","Meerssen Papier BV","14612293","17681","3349","Ja","17680","3368","Ja","17680","5021","Ja","17680","4267","Ja","17680","4656","Ja","4850","4560","Ja"
"NL-200800024","Michel Grootscholten","27325901","6383","5316","Ja","14237","11377","Ja","14237","12720","Ja","14237","11783","Ja","14237","3212","Ja","-","-","-"
"NL-200500057","Ministerie van Defensie, Nieuwe Haven Terrein","27370985","14474","16209","Ja","14474","16292","Ja","14474","19044","Ja","14474","18860","Ja","14474","15360","Ja","10098","14227","Ja"
"NL-200400094","Minnewit B.V.","34237795","92547","51111","Ja","92546","120404","Ja","92546","125802","Ja","92546","82513","Ja","92546","342","Ja","-","-","-"
"NL-201100011","Basell Benelux B.V.","20078583","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28517","10788","Ja"
"NL-200400258","Momentive Specialty Chemicals B.V.","24294676","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","172636","36873","Ja"
"NL-200400258a","Momentive Specialty Chemicals B.V. BKG 2","24294676","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9363","4607","Ja"
"NL-200400239","Monier Tegelen","30223100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8750","10515","Ja"
"NL-200400238","Monier Woerden","30223100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13000","9895","Ja"
"NL-200700033","MTS Harry Wubben Chrysanten","27363819","6258","6682","Ja","6257","5930","Ja","6257","7247","Ja","6257","6526","Ja","6257","2385","Ja","-","-","-"
"NL-200700092","MTS J.C.M. van Marrewijk","27366938","11893","10912","Ja","11893","11009","Ja","11893","11342","Ja","11893","4826","Ja","-","-","-","-","-","-"
"NL-200400008","EPZ Conventional Operations","17059425","1681912","1794362","Ja","1681912","1726873","Ja","1681912","2107372","Ja","1681912","2089834","Ja","1681912","2051070","Ja","30844","2177074","Ja"
"NL-200400268","NAM B.V. Gasbehandelingsinstallatie Grijpskerk (GRK-GDF)","04008869","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8583","10954","Ja"
"NL-200400273","NAM B.V. Gasproductie en gascompressie-installatie Ameland Westgat","04008869","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","50380","59915","Ja"
"NL-200400269","NAM B.V. gaszuiveringsinstallatie (GZI) Emmen","04008869","58966","48391","Ja","58965","54547","Ja","58965","55619","Ja","58965","43765","Ja","58965","43119","Ja","37506","59104","Ja"
"NL-201000124","NAM B.V. Grijpskerk USG","04008869","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4979","6802","Ja"
"NL-200400260","NAM B.V. locatie Den Helder","04008869","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21063","22782","Ja"
"NL-201000125","NAM B.V. Norg USG","04008869","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7762","6691","Ja"
"NL-201000047","NAM B.V. Warmtekrachtcentrale en Oliebehandelingsinstallatie Schoonebeek (WKC/OBI)","04058658","-","-","-","-","-","-","0","0","Ja","0","59258","Ja","0","154290","Ja","0","177001","Ja"
"NL-200400280","NAM, locatie K14-FA-1C/P","04008869","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","115912","130489","Ja"
"NL-200400279","NAM, locatie L9-FF-1","04008869","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","56006","54794","Ja"
"NL-200400207","Nederlandse Gasunie CS Alphen N.V.","02029700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","132","92","Ja"
"NL-200400104","Nederlandse Gasunie CS Beverwijk N.V.","02029700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12806","8732","Ja"
"NL-200400105","Nederlandse Gasunie CS Oldeboorn N.V.","02029700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4501","15898","Ja"
"NL-200400106","Nederlandse Gasunie CS Ommen N.V.","02029700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34822","30052","Ja"
"NL-200400102","Nederlandse Gasunie CS Ravenstein N.V.","02029700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","79315","23750","Ja"
"NL-200400014","Nederlandse Gasunie CS Spijk N.V.","02029700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","45062","7370","Ja"
"NL-200400101","Nederlandse Gasunie CS Wieringermeer N.V.","02029700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5148","8271","Ja"
"NL-200400103","Nederlandse Gasunie CS Zweekhorst N.V.","02029700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17074","26843","Ja"
"NL-200400120","N.V. Nederlandse Gasunie LNG Maasvlakte","02029700","1376","1348","Ja","1376","876","Ja","1375","512","Ja","1375","654","Ja","1375","306","Ja","1009","21474","Ja"
"NL-201000065","N.V. Nederlandse Gasunie UGS Zuidwending","02092814","-","-","-","-","-","-","-","-","-","0","5745","Ja","0","6115","Ja","6682","5273","Ja"
"NL-200400291","Nedmag Industries Mining & Manufacturing Holding B.V.","02331543","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","89923","72540","Ja"
"NL-200500043","VDL Nedcar B.V.","14027374","9427","6744","Ja","9427","6702","Ja","9426","8868","Ja","9426","6256","Ja","9426","6731","Ja","8524","8385","Ja"
"NL-200900007","Nieuwe Tuinen B.V.","27274751","-","-","-","6168","5451","Ja","19227","12943","Ja","19227","12688","Ja","19227","3868","Ja","-","-","-"
"NL-200800078","Noordelijke Asfaltproductie (NOAP) B.V.","02328827","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2456","1893","Ja"
"NL-201000126","Noordgastransport B.V.","27083890","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14194","14207","Ja"
"NL-200400018","Parenco B.V.","09042723","235896","199764","Ja","235896","147589","Ja","235896","175585","Ja","235896","168265","Ja","235895","161547","Ja","130291","75962","Ja"
"NL-200800056","Nuon Centrale Catharina Ziekenhuis","33292246","12125","13027","Ja","12125","14068","Ja","12125","14234","Ja","12125","14098","Ja","12124","13428","Ja","-","-","-"
"NL-200400092","Nuon Centrale Diemen","09066021","505809","612148","Ja","505809","613819","Ja","505809","668278","Ja","505809","520924","Ja","505809","651328","Ja","87222","1043709","Ja"
"NL-200400019","Nuon Centrale Hemweg","09066021","3225743","3250218","Ja","3225743","3708312","Ja","3225743","2367013","Ja","3225743","2792315","Ja","3225743","3574605","Ja","0","4177886","Ja"
"NL-200700172","Nuon Centrale Utrecht Lage Weide","09066021","552484","647878","Ja","552484","616891","Ja","552483","584098","Ja","552483","624722","Ja","552483","500971","Ja","113849","494759","Ja"
"NL-200400091","Nuon Centrale Utrecht Merwede Kanaal","09066021","544280","391369","Ja","544280","576529","Ja","544279","499871","Ja","544279","325826","Ja","544279","288725","Ja","109091","335280","Ja"
"NL-200500049","Nuon Hulpwarmte centrale Kanaleneiland","09066021","574","111","Ja","574","23","Ja","574","1359","Ja","573","131","Ja","573","5922","Ja","384","401","Ja"
"NL-200500051","Nuon Hulpwarmte centrale Nicolaas Beetsstraat (HWC-NB)","09066021","846","630","Ja","846","1714","Ja","846","6079","Ja","845","511","Ja","845","1369","Ja","2841","930","Ja"
"NL-200500052","Nuon Hulpwarmte centrale Nieuwegein","09066021","2319","2132","Ja","2319","2678","Ja","2319","2890","Ja","2319","2008","Ja","2319","28234","Ja","1853","3255","Ja"
"NL-200500050","Nuon Hulpwarmte centrale Overvecht","09066021","514","122","Ja","514","452","Ja","514","1826","Ja","514","235","Ja","514","225","Ja","819","1126","Ja"
"NL-200500058","HulpWarmteCentrale 1","59966491","6306","6059","Ja","6306","12201","Ja","6305","24499","Ja","6305","8052","Ja","6305","15077","Ja","14000","29789","Ja"
"NL-200400294","Nuon HWC Almere","09096519","911","287","Ja","2640","3994","Ja","81515","6191","Ja","81515","4259","Ja","81515","9116","Ja","3738","1082","Ja"
"NL-200700093","Nuon HWC Arena - Holterbergweg","09117658","686","192","Ja","686","57","Ja","686","1224","Ja","686","654","Ja","686","41","Ja","496","515","Ja"
"NL-200700094","Nuon HWC Boris Pasternak","09117658","315","321","Ja","315","48","Ja","315","522","Ja","315","1417","Ja","315","25","Ja","403","3477","Ja"
"NL-200500104","Nuon HWC Duiven-Westervoort","09117658","534","1083","Ja","534","326","Ja","533","1192","Ja","533","323","Ja","533","517","Ja","896","1389","Ja"
"NL-201000017","Nuon HWC Lelystad","09117658","-","-","-","-","-","-","2647","3606","Ja","2240","2241","Ja","2924","1727","Ja","2263","2973","Ja"
"NL-200800103","Nuon HWC Schuytgraaf","09117658","-","-","-","0","0","Ja","0","66","Ja","0","72","Ja","0","4","Ja","145","61","Ja"
"NL-201100045","Nuon Magnum Centrale Eemsmond","09096519","-","-","-","-","-","-","-","-","-","0","0","Ja","0","1062","Ja","0","734257","Ja"
"NL-200400088","Nuon Power Buggenum (WAC)","09066021","644299","1217500","Ja","644299","1278501","Ja","644298","1006829","Ja","644298","895862","Ja","644298","783106","Ja","0","290920","Ja"
"NL-200400089","Nuon Power IJmond","09066021","418335","1989662","Ja","418335","91931","Ja","418335","2209458","Ja","418335","1787100","Ja","418334","1867643","Ja","0","2014494","Ja"
"NL-200400090","Nuon Power Velsen","09066021","1388349","4288479","Ja","1388348","4633490","Ja","1388348","3977741","Ja","1388348","4618543","Ja","1388348","4507735","Ja","0","3851617","Ja"
"NL-200400093","Nuon Warmtekrachtcentrale Purmerend","09066021","159691","149629","Ja","159690","120260","Ja","159690","127906","Ja","159690","121862","Ja","159690","114543","Ja","54201","107826","Ja"
"NL-200400064","Nuon WKC Almere","09096519","311109","346654","Ja","311109","375104","Ja","311109","364134","Ja","311108","294175","Ja","311108","114755","Ja","135253","45242","Ja"
"NL-200700095","Gouda Refractories BV","29011939","8616","7603","Ja","8616","4246","Ja","8615","5596","Ja","8615","7686","Ja","8615","8045","Ja","8325","8278","Ja"
"NL-200500007","Stichting Vergunning Moleneind","54040361","28390","30235","Ja","28390","29565","Ja","28390","32126","Ja","28390","27442","Ja","28390","27604","Ja","28300","27881","Ja"
"NL-200500013","NXP Semiconductors Nijmegen","17070621","14523","13945","Ja","14521","13874","Ja","14522","14343","Ja","14521","10963","Ja","14521","11106","Ja","13428","11624","Ja"
"NL-200500008","Nyrstar Budel B.V.","17256263","9006","8538","Ja","9005","10104","Ja","9005","7005","Ja","9005","6636","Ja","9005","7737","Ja","130890","46071","Ja"
"NL-200400124","OCI Nitrogen","14041561","9979","138387","Ja","413279","130199","Ja","187905","198","Ja","187904","3","Ja","164181","3","Ja","-","-","-"
"NL-200400298","Odfjell Terminals (Rotterdam) B.V. BKG 1","24298282","16542","16912","Ja","16542","12689","Ja","16542","13052","Ja","16542","12725","Ja","16541","10926","Ja","11180","9337","Ja"
"NL-200400298a","Odfjell Terminals (Rotterdam) B.V. BKG 2","24298282","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15960","8272","Ja"
"NL-200400230","O-I Manufacturing Netherlands B.V., vestiging Leerdam","24202107","107161","121071","Ja","107160","110878","Ja","107160","101875","Ja","107160","111381","Ja","107160","99935","Ja","117137","107068","Ja"
"NL-200400231","O-I Manufacturing Netherlands B.V., vestiging Maastricht","24202107","104500","83308","Ja","104500","88706","Ja","104500","90908","Ja","104499","87612","Ja","104499","83901","Ja","86714","84644","Ja"
"NL-200400229","O-I Manufacturing Netherlands B.V., vestiging Schiedam","24202107","64054","63907","Ja","64054","57867","Ja","64054","62085","Ja","64054","62554","Ja","64054","61605","Ja","58617","63209","Ja"
"NL-200400196","Oldambt Groenvoederdrogerij B.V.","02322173","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15854","17792","Ja"
"NL-201000127","Ooms Producten bv","36003612","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2755","3312","Ja"
"NL-200800079","Owens Corning Veil Netherlands B.V.","08037383","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14433","17676","Ja"
"NL-200700096","P.N. Hoogerbrugge Steenbergen B.V.","20118200","20266","21119","Ja","20266","18368","Ja","24066","24793","Ja","24167","22923","Ja","24167","21017","Ja","11108","18366","Ja"
"NL-200400029","Papierfabriek Doetinchem B.V.","09014978","31776","32338","Ja","31776","30073","Ja","31776","31173","Ja","31775","29490","Ja","31775","30861","Ja","28449","30743","Ja"
"NL-200700097","PEKA Kroef B.V.","16067892","19056","23660","Ja","20224","20833","Ja","21393","22516","Ja","22472","20708","Ja","23730","22525","Ja","15717","20567","Ja"
"NL-200500015","PepsiCo Nederland B.V.","30098485","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8087","12732","Ja"
"NL-200700001","Pergen VOF","24365735","612257","580765","Ja","1622263","1312118","Ja","1622263","1374820","Ja","1622263","1315921","Ja","1622263","1270288","Ja","11525","1292130","Ja"
"NL-200800122","Peter Aarts V.O.F.","17114321","5626","5635","Ja","13470","10218","Ja","13470","13433","Ja","13470","4784","Ja","-","-","-","-","-","-"
"NL-201100140","PGI Nonwovens B.V.","16020978","-","-","-","-","-","-","-","-","-","-","-","-","0","8190","Ja","8366","9243","Ja"
"NL-200500012","Philip Morris Holland B.V.","20028955","7417","23958","Ja","7417","24206","Ja","7417","24971","Ja","7417","22312","Ja","7416","20592","Ja","21267","21977","Ja"
"NL-200400201","Philips Lighting B.V.","17061150","23464","21831","Ja","23464","17631","Ja","0","3529","Ja","-","-","-","-","-","-","-","-","-"
"NL-200700099","Plantenkwekerij Leo Ammerlaan BV","29040873","14885","14080","Ja","20342","16925","Ja","20342","17926","Ja","20342","15942","Ja","20342","9113","Ja","-","-","-"
"NL-200700100","Plantenkwekerij P. van Geest Maasland B.V.","27181975","8758","9186","Ja","8758","9044","Ja","8757","9797","Ja","8757","2328","Ja","-","-","-","-","-","-"
"NL-200700101","Plantenkwekerij Van der Lugt v.o.f","24321457","9785","9984","Ja","9785","9940","Ja","9784","9947","Ja","9784","5065","Ja","-","-","-","-","-","-"
"NL-200700017","Polman BV","04073262","12699","13006","Ja","12699","11346","Ja","12699","13901","Ja","12699","12996","Ja","12698","3037","Ja","-","-","-"
"NL-200400174","PPG Industries Chemicals B.V.","02329711","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35030","36103","Ja"
"NL-200400225","PPG Industries Fiber Glass BV","02316271","47176","42274","Ja","47176","25611","Ja","47176","44277","Ja","47175","41702","Ja","47175","39359","Ja","40802","38785","Ja"
"NL-200400262","PQ Silicas BV","33214819","19686","21833","Ja","19685","17976","Ja","19685","17848","Ja","19685","14148","Ja","19685","14267","Ja","35665","26681","Ja"
"NL-200400195","Promelca Dairy Foods","08131136","17792","21773","Ja","17792","21278","Ja","17792","22161","Ja","17791","22264","Ja","17791","22904","Ja","28519","32477","Ja"
"NL-200700102","Prominent Groeneweg B.V.","27242494","13268","16384","Ja","13267","12439","Ja","13267","14548","Ja","13267","7033","Ja","-","-","-","-","-","-"
"NL-200400234","PURAC Biochem B.V.","23036930","40217","23243","Ja","40216","11957","Ja","40216","15524","Ja","40216","14721","Ja","40216","15091","Ja","29966","15556","Ja"
"NL-200900068","Red Harvest BV","27320114","-","-","-","6129","4512","Ja","30588","34431","Ja","39973","40839","Ja","39973","38594","Ja","17944","38673","Ja"
"NL-200400181","Rendac Son B.V.","17066640","37691","17193","Ja","37690","12760","Ja","37690","26752","Ja","37690","40867","Ja","37690","37736","Ja","29738","35948","Ja"
"NL-200400241","Rijnmond Energie C.V.","24328513","1574063","1561225","Ja","1574062","1881450","Ja","1574062","1775912","Ja","1574062","1838484","Ja","1574062","954208","Ja","20001","208067","Ja"
"NL-200400197","Rixona B.V.","02020914","26118","22629","Ja","26118","22091","Ja","26118","22980","Ja","26118","23638","Ja","26117","23642","Ja","24519","32065","Ja"
"NL-200400020","Rockwool B.V.","13014428","153010","192175","Ja","163929","150091","Ja","163929","147109","Ja","163929","150461","Ja","163928","139188","Ja","140582","120662","Ja"
"NL-200700105","Rodruza - Steenfabriek Rossum BV","10030798","15309","16265","Ja","15309","13619","Ja","15308","13003","Ja","15308","10388","Ja","15308","10100","Ja","12429","7834","Ja"
"NL-200700106","Rodruza - Steenfabriek Zandberg BV","10030798","26795","18363","Ja","26795","14624","Ja","26795","10409","Ja","26794","13917","Ja","26794","13378","Ja","16334","10218","Ja"
"NL-200700107","Ropa B.V.","27287643","23250","18938","Ja","25623","15244","Ja","25623","19910","Ja","25623","19808","Ja","25623","10971","Ja","-","-","-"
"NL-200800082","Rosier Nederland B.V.","21009167","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18191","19086","Ja"
"NL-200700013","Royal Pride Holland BV - Middenmeer","18082234","70548","64596","Ja","76508","63496","Ja","76508","73206","Ja","76508","65361","Ja","76507","66734","Ja","31213","74262","Ja"
"NL-200700027","Rozenkwekerij de Trompet VOF","04075360","8378","8377","Ja","8377","0","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200400184","Ruigenhil Vastgoed B.V. Nedstaal BKG 1","23093134","58949","51505","Ja","58926","24881","Ja","58903","44951","Ja","58880","52210","Ja","58857","46639","Ja","22526","25409","Ja"
"NL-200400184a","Ruigenhil Vastgoed B.V. FNsteel BKG 2","23093134","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24393","19732","Ja"
"NL-201000010","RWE Eemshaven Centrale","09198622","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55431","Ja"
"NL-200400015","SABIC Innovative Plastics B.V. BKG 1","20079272","425433","385369","Ja","425433","275763","Ja","425433","344243","Ja","425432","310594","Ja","425432","330795","Ja","160075","345822","Ja"
"NL-200400015a","SABIC Innovative Plastics B.V. BKG 2","20079272","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40877","3680","Ja"
"NL-200400236","Saint-Gobain Construction Products Nederland B.V.","20022420","51337","60940","Ja","51337","50424","Ja","51337","43309","Ja","51337","47892","Ja","51336","44163","Ja","46069","42023","Ja"
"NL-200400010","Sappi Maastricht BV","14631722","254902","248989","Ja","254902","187721","Ja","254902","208816","Ja","254902","187989","Ja","254901","193057","Ja","83177","158897","Ja"
"NL-200400012","InnovioPapers B.V.","10041104","90690","80812","Ja","90689","72549","Ja","90689","74205","Ja","90689","73158","Ja","90689","64348","Ja","64164","68726","Ja"
"NL-200400141","DS Smith Paper De Hoop Mill","08046917","238913","226731","Ja","238913","209171","Ja","238913","226782","Ja","238912","202265","Ja","238912","203172","Ja","94612","216334","Ja"
"NL-200500056","Schiphol Nederland B.V.","34166584","28525","28536","Ja","28525","26461","Ja","28524","28185","Ja","28524","23307","Ja","28524","22253","Ja","15898","19079","Ja"
"NL-200700098","Schreurs Holland BV","33261517","10675","7649","Ja","10675","8405","Ja","10675","10081","Ja","10675","8667","Ja","10675","2340","Ja","-","-","-"
"NL-200500010","Seasun Epsilon B.V. (Seasun Oost)","22058082","19807","15180","Ja","19807","12616","Ja","19807","15703","Ja","19807","14444","Ja","19806","16697","Ja","9336","15550","Ja"
"NL-200400152","Sensus B.V. Zwolle","20169318","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10831","8557","Ja"
"NL-200400151","Sensus, vestiging Roosendaal","20169318","18066","12466","Ja","18066","16697","Ja","18066","16877","Ja","18065","15948","Ja","18065","13106","Ja","18880","13680","Ja"
"NL-200400047","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 1","24082750","1941390","2004520","Ja","1941389","1943188","Ja","1941389","2122031","Ja","1941389","2077435","Ja","1941389","1995502","Ja","1084289","1003983","Ja"
"NL-200400047a","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 2","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","210908","145809","Ja"
"NL-200400047b","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 3","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","293449","205542","Ja"
"NL-200400047c","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 4","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","128631","362691","Ja"
"NL-200400047d","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 5","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","111262","90686","Ja"
"NL-200400047e","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 6","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","152890","43258","Ja"
"NL-200400047f","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 7","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","166604","15861","Ja"
"NL-200400047g","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 8","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","181269","504712","Ja"
"NL-201100012","Shell Nederland Chemie B.V., vestiging Pernis","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","384605","39690","Ja"
"NL-200400021","Shell Nederland Raffinaderij B.V.","24094988","5176643","5151891","Ja","5176642","4463005","Ja","5176642","4134663","Ja","5176642","4113299","Ja","5176642","4094936","Ja","3357482","4334421","Ja"
"NL-200400110","Shin-Etsu PVC B.V. Locatie Botlek","34123402","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","105543","100189","Ja"
"NL-201000054","Simadan Holdings","34054994","-","-","-","-","-","-","-","-","-","0","648","Ja","0","485","Ja","-","-","-"
"NL-200400034","Siniat B.V.","02320379","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20239","43885","Ja"
"NL-200800027","Sloe Centrale B.V.","22063828","-","-","-","341534","519149","Ja","2373814","1971161","Ja","2368621","1479636","Ja","2192157","1155240","Ja","0","1119570","Ja"
"NL-200400016","Smurfit Kappa Roermond Papier B.V.","13027128","158825","152546","Ja","158825","149975","Ja","158825","161839","Ja","158825","157890","Ja","158824","160265","Ja","143756","162738","Ja"
"NL-200400144","Smurfit Kappa Solid Board B.V. Bad Nieuweschans","02031366","38090","31985","Ja","38090","29258","Ja","38090","40287","Ja","38089","38987","Ja","38089","36372","Ja","33290","35450","Ja"
"NL-200400143","Smurfit Kappa Solid Board, locatie Coevorden","02031366","23195","22959","Ja","23195","23577","Ja","23195","24905","Ja","23195","20305","Ja","23194","19225","Ja","16416","16187","Ja"
"NL-200400208","Smurfit Kappa Solid Board, locatie Hoogkerk","02031366","25003","25159","Ja","25003","22183","Ja","25002","27107","Ja","25002","19901","Ja","25002","17437","Ja","27002","17313","Ja"
"NL-200400081","Smurfit Kappa Solid Board B.V., locatie Oude Pekela","02031366","24516","23434","Ja","24515","19937","Ja","24515","24159","Ja","24515","23661","Ja","24515","22920","Ja","17014","18176","Ja"
"NL-200400080","Smurfit Kappa Solid Board, locatie Oude Pekela KM1","02300918","14406","170","Ja","14406","93","Ja","14406","0","Ja","-","-","-","-","-","-","-","-","-"
"NL-200700108","Solidpack B.V.","02313313","11635","12221","Ja","11635","12516","Ja","11635","13142","Ja","11635","12936","Ja","11634","12758","Ja","14576","13203","Ja"
"NL-200400228","Sonac Burgum B.V.","59078561","35308","13801","Ja","35308","8666","Ja","35307","37396","Ja","35307","49407","Ja","35307","41072","Ja","32414","41412","Ja"
"NL-200400296","Sonac Vuren B.V.","59079266","15462","2078","Ja","15462","2250","Ja","15462","13128","Ja","15462","17629","Ja","15462","18119","Ja","25069","28236","Ja"
"NL-200400290","Sonneborn Refined Products","54991439","21161","21334","Ja","21161","19265","Ja","21161","22693","Ja","21161","22932","Ja","21160","23802","Ja","10714","19852","Ja"
"NL-200700109","Steenfabriek De Nijverheid BV","09031225","19233","21160","Ja","19233","20308","Ja","19233","17993","Ja","19233","14911","Ja","19233","16260","Ja","13192","13319","Ja"
"NL-200400133","Steenfabriek De Rijswaard BV","11014483","28648","26264","Ja","28648","25209","Ja","28647","22668","Ja","28647","26396","Ja","28647","24816","Ja","21871","25600","Ja"
"NL-200700110","Steenfabriek De Vlijt BV","09037761","9489","8317","Ja","9488","8559","Ja","9488","9121","Ja","9488","9327","Ja","9488","8955","Ja","6537","8560","Ja"
"NL-200700111","Steenfabriek Engels Helden BV","12000934","15467","16772","Ja","15467","13270","Ja","15467","12056","Ja","15466","14042","Ja","15466","12347","Ja","14516","10661","Ja"
"NL-200700112","Steenfabriek Engels Oeffelt BV","16050054","8233","15649","Ja","8233","10526","Ja","8233","10814","Ja","8233","11789","Ja","8232","9620","Ja","11766","10958","Ja"
"NL-200700113","Steenfabriek Gebroeders Klinkers BV","14621297","9623","8377","Ja","9623","6865","Ja","9623","7168","Ja","9623","7785","Ja","9623","6748","Ja","4924","7588","Ja"
"NL-200700115","Steenfabriek Linssen BV","14067911","4252","4084","Ja","4252","3444","Ja","4251","2298","Ja","4251","2609","Ja","4251","2712","Ja","3880","2317","Ja"
"NL-200700116","Steenindustrie Strating b.v.","02322990","6928","6128","Ja","6928","6385","Ja","6927","6291","Ja","6927","6107","Ja","6927","6839","Ja","4114","4206","Ja"
"NL-201100006","Steinzeug-Keramo BV","12016368","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4577","4693","Ja"
"NL-200600041","Stichting Beheer Cluster Bergschenhoek","24308465","10715","8152","Ja","10715","9309","Ja","10715","9134","Ja","10715","7831","Ja","10715","2982","Ja","-","-","-"
"NL-200400300","Stichting Katholieke Universiteit (SKU)","41055629","32568","25981","Ja","32568","26898","Ja","32568","29480","Ja","32568","24267","Ja","32568","24984","Ja","21472","25137","Ja"
